name,commits,lastCommit
prestodb/presto,21637,2023-09-02T03:25:53
libgdx/libgdx,15266,2023-08-28T10:44:22
mekanism/mekanism,9246,2023-09-02T08:33:54
jankotek/mapdb,2186,2023-03-19T04:53:58
jetbrains/intellij-plugins,25565,2023-09-05T07:17:51
robo-code/robocode,2614,2023-07-30T12:07:00
jfxtras/jfxtras-styles,428,2023-08-31T01:07:57
koush/androidasync,1097,2022-11-23T03:20:07
jeremylong/dependencycheck,9698,2023-09-04T09:38:06
apache/drill,4453,2023-08-29T03:44:04
sonarsource/sonar-java,8596,2023-09-04T11:58:58
xerial/snappy-java,1104,2023-09-05T02:24:37
hdrhistogram/hdrhistogram,764,2023-05-08T12:28:10
activiti/activiti,10949,2023-08-25T10:23:23
ebean-orm/ebean,7078,2023-08-30T10:17:31
kermitt2/grobid,3119,2023-08-28T06:43:35
freeplane/freeplane,15491,2023-09-02T01:13:38
wiglenet/wigle-wifi-wardriving,2114,2023-09-05T05:32:06
linkedin/parseq,795,2022-12-21T07:51:06
lmax-exchange/disruptor,1327,2023-07-05T11:16:36
vanilla-music/vanilla,2280,2023-04-30T08:46:41
pvorb/npm-stat.com,340,2022-10-29T11:10:42
automattic/simplenote-android,4613,2023-08-16T12:18:14
openrocket/openrocket,5445,2023-09-05T06:54:26
jcodec/jcodec,935,2023-02-05T11:01:47
micdoodle8/galacticraft,7875,2023-05-01T02:32:09
spigotmc/bungeecord,1908,2023-08-24T10:07:19
pf4j/pf4j,713,2023-08-16T06:00:59
vue/vue,11068,2022-09-24T01:40:49
mockito/mockito,5972,2023-09-04T08:49:49
openrefine/openrefine,7715,2023-09-04T08:13:28
azkaban/azkaban,2976,2023-08-29T05:23:15
dreamhead/moco,3827,2023-09-02T12:44:37
spring-projects/spring-boot,44756,2023-09-06T01:46:58
vaadin/framework,19176,2023-07-28T12:19:39
killbill/killbill,9952,2023-09-01T08:10:27
apache/druid,13161,2023-09-05T11:17:00
adjust/android_sdk,2537,2023-08-17T05:48:32
ukanth/afwall,1852,2023-08-28T01:24:10
odrotbohm/spring-restbucks,336,2023-08-26T02:21:28
cobertura/cobertura,1090,2022-11-20T07:04:26
modesty/pdf2json,323,2023-08-06T05:20:37
